StateAbbr,Lat,Long
AL,33.5275664,86.7988175
AL,33.3767603,86.8051938
AL,34.6989693,86.6387043
AL,30.6776249,88.1184483
AL,32.3472645,86.267706
AL,33.2336084,87.5268004
AK,61.1498687,149.111113
AZ,33.3858367,112.323627
AZ,33.2831898,111.85221
AZ,33.3101494,111.746237
AZ,33.5796123,112.225306
AZ,33.4022837,111.718721
AZ,33.7847206,112.298681
AZ,33.5724139,112.088995
AZ,33.6872494,111.865086
AZ,33.6803835,112.452218
AZ,33.388264,111.931802
AZ,32.1567244,110.877085
AZ,32.5986027,114.548368
AR,36.0712117,94.16596
AR,35.3491693,94.3696317
AR,35.8208122,90.6794992
AR,34.7253958,92.3583752
AR,36.1869933,94.1536275
CA,37.7650849,122.26649
CA,34.0839734,118.135514
CA,33.8389077,117.857613
CA,37.9777043,121.796607
CA,34.5315985,117.211013
CA,35.3513303,119.029786
CA,34.0828715,117.972101
CA,33.8880418,118.1271
CA,37.8725679,122.274908
CA,33.8572127,118.004518
CA,34.18798,118.323429
CA,33.1248051,117.282903
CA,33.8374083,118.255936
CA,39.7568504,121.815984
CA,33.9835881,117.665297
CA,33.9507745,117.725327
CA,32.6282964,117.010042
CA,38.6947788,121.287992
CA,36.82894,119.686653
CA,33.8929657,118.227507
CA,37.972181,122.001588
CA,33.8623572,117.564224
CA,33.6667651,117.913505
CA,37.6861552,122.468298
CA,33.9378673,118.13115
CA,32.8016582,116.960484
CA,38.4159992,121.384138
CA,34.0739197,118.029072
CA,33.1346953,117.072123
CA,38.2558446,122.039303
CA,38.6750494,121.147606
CA,34.0974228,117.459241
CA,37.5278685,121.984122
CA,36.7826787,119.794127
CA,33.8840378,117.927851
CA,33.7786941,117.960111
CA,34.1818894,118.246767
CA,33.9146677,118.347668
CA,37.6329592,122.077051
CA,33.7352277,116.994605
CA,34.3973477,117.314392
CA,33.6952749,118.001811
CA,33.7298068,116.237258
CA,33.9565748,118.344445
CA,33.6780109,117.773633
CA,33.6634129,117.670683
CA,33.8470532,118.122205
CA,34.6934347,118.175306
CA,37.6865101,121.764358
CA,33.8060145,118.160894
CA,34.1182278,118.4085
CA,33.9239617,118.201648
CA,37.7961925,121.231231
CA,33.6909533,117.184877
CA,37.3055863,120.477711
CA,37.4338698,121.892083
CA,33.6095977,117.65503
CA,37.6615478,120.988548
CA,33.9244314,117.204502
CA,37.3999252,122.079544
CA,33.5719743,117.190921
CA,38.2980425,122.301093
CA,33.6150104,117.867365
CA,33.9068808,118.082915
CA,37.790878,122.214859
CA,33.2247457,117.3082
CA,34.0392649,117.606427
CA,33.804642,117.823186
CA,34.1959238,119.181877
CA,34.59449,118.105772
CA,34.1597635,118.138922
CA,33.7897346,117.223292
CA,37.6656092,121.880775
CA,34.0585026,117.762552
CA,34.1245896,117.566176
CA,40.5697591,122.365026
CA,34.0511315,117.170935
CA,33.857528,118.376568
CA,37.5009145,122.224768
CA,34.1128158,117.388536
CA,37.947971,122.336804
CA,33.9381252,117.394846
CA,38.7657516,121.302848
